곡절: ㄱㅗㄱㅈㅓㄹ
곡창: ㄱㅗㄱㅊㅏㅇ
곡해: ㄱㅗㄱㅎㅏㅣ
곤경: ㄱㅗㄴㄱㅕㅇ
곤궁: ㄱㅗㄴㄱㅜㅇ
곤란: ㄱㅗㄴㄹㅏㄴ
곤봉: ㄱㅗㄴㅂㅗㅇ
곤욕: ㄱㅗㄴㅇㅛㄱ
곤장: ㄱㅗㄴㅈㅏㅇ
곤죽: ㄱㅗㄴㅈㅜㄱ
곤충: ㄱㅗㄴㅊㅜㅇ
곤혹: ㄱㅗㄴㅎㅗㄱ
골격: ㄱㅗㄹㄱㅕㄱ
골대: ㄱㅗㄹㄷㅏㅣ
골동: ㄱㅗㄹㄷㅗㅇ
골목: ㄱㅗㄹㅁㅗㄱ
골몰: ㄱㅗㄹㅁㅗㄹ
골문: ㄱㅗㄹㅁㅜㄴ
골반: ㄱㅗㄹㅂㅏㄴ
골방: ㄱㅗㄹㅂㅏㅇ
골병: ㄱㅗㄹㅂㅕㅇ
골인: ㄱㅗㄹㅇㅣㄴ
골재: ㄱㅗㄹㅈㅏㅣ
골절: ㄱㅗㄹㅈㅓㄹ
골탕: ㄱㅗㄹㅌㅏㅇ
골통: ㄱㅗㄹㅌㅗㅇ
곰국: ㄱㅗㅁㄱㅜㄱ
곰탕: ㄱㅗㅁㅌㅏㅇ
곱슬: ㄱㅗㅂㅅㅡㄹ
곱절: ㄱㅗㅂㅈㅓㄹ
곱창: ㄱㅗㅂㅊㅏㅇ
곳간: ㄱㅗㅅㄱㅏㄴ
곳곳: ㄱㅗㅅㄱㅗㅅ
공간: ㄱㅗㅇㄱㅏㄴ
공갈: ㄱㅗㅇㄱㅏㄹ
공감: ㄱㅗㅇㄱㅏㅁ
공개: ㄱㅗㅇㄱㅏㅣ
공것: ㄱㅗㅇㄱㅓㅅ
공격: ㄱㅗㅇㄱㅕㄱ
공경: ㄱㅗㅇㄱㅕㅇ
공공: ㄱㅗㅇㄱㅗㅇ
공과: ㄱㅗㅇㄱㅗㅏ
공군: ㄱㅗㅇㄱㅜㄴ
공금: ㄱㅗㅇㄱㅡㅁ
공급: ㄱㅗㅇㄱㅡㅂ
공단: ㄱㅗㅇㄷㅏㄴ
공대: ㄱㅗㅇㄷㅏㅣ
공덕: ㄱㅗㅇㄷㅓㄱ
공돈: ㄱㅗㅇㄷㅗㄴ
공동: ㄱㅗㅇㄷㅗㅇ
공란: ㄱㅗㅇㄹㅏㄴ
공람: ㄱㅗㅇㄹㅏㅁ
공략: ㄱㅗㅇㄹㅑㄱ
공력: ㄱㅗㅇㄹㅕㄱ
공론: ㄱㅗㅇㄹㅗㄴ
공룡: ㄱㅗㅇㄹㅛㅇ
공립: ㄱㅗㅇㄹㅣㅂ
공명: ㄱㅗㅇㅁㅕㅇ
공문: ㄱㅗㅇㅁㅜㄴ
공물: ㄱㅗㅇㅁㅜㄹ
공박: ㄱㅗㅇㅂㅏㄱ
공밥: ㄱㅗㅇㅂㅏㅂ
공방: ㄱㅗㅇㅂㅏㅇ
공범: ㄱㅗㅇㅂㅓㅁ
공병: ㄱㅗㅇㅂㅕㅇ
공복: ㄱㅗㅇㅂㅗㄱ
공산: ㄱㅗㅇㅅㅏㄴ
